86;02_COLUMNAS;[dbo].[WF_DocumentoPlantilla].[FechaCreacion];"column_id=7; type=datetime; nullable=NO; identity=NO; default=(getdate())"
87;02_COLUMNAS;[dbo].[WF_DocumentoPlantilla].[Activa];"column_id=8; type=bit; nullable=NO; identity=NO; default=((1))"
88;02_COLUMNAS;[dbo].[WF_DocumentoTipo].[Id];"column_id=1; type=int; nullable=NO; identity=SI"
89;02_COLUMNAS;[dbo].[WF_DocumentoTipo].[Codigo];"column_id=2; type=varchar(50); nullable=NO; identity=NO"
90;02_COLUMNAS;[dbo].[WF_DocumentoTipo].[Nombre];"column_id=3; type=varchar(200); nullable=NO; identity=NO"
91;02_COLUMNAS;[dbo].[WF_DocumentoTipo].[Formato];"column_id=4; type=varchar(10); nullable=NO; identity=NO"
92;02_COLUMNAS;[dbo].[WF_DocumentoTipo].[Descripcion];"column_id=5; type=varchar(500); nullable=SI; identity=NO"
93;02_COLUMNAS;[dbo].[WF_DocumentoTipo].[Activo];"column_id=6; type=bit; nullable=NO; identity=NO; default=((1))"
94;02_COLUMNAS;[dbo].[WF_Entidad].[EntidadId];"column_id=1; type=bigint; nullable=NO; identity=SI"
95;02_COLUMNAS;[dbo].[WF_Entidad].[TenantId];"column_id=2; type=nvarchar(50); nullable=SI; identity=NO"
96;02_COLUMNAS;[dbo].[WF_Entidad].[TipoEntidad];"column_id=3; type=nvarchar(80); nullable=NO; identity=NO"
97;02_COLUMNAS;[dbo].[WF_Entidad].[EstadoActual];"column_id=4; type=nvarchar(50); nullable=SI; identity=NO"
98;02_COLUMNAS;[dbo].[WF_Entidad].[InstanciaId];"column_id=5; type=bigint; nullable=SI; identity=NO"
99;02_COLUMNAS;[dbo].[WF_Entidad].[DataJson];"column_id=6; type=nvarchar(MAX); nullable=SI; identity=NO"
100;02_COLUMNAS;[dbo].[WF_Entidad].[Total];"column_id=7; type=decimal(18,2); nullable=SI; identity=NO"
101;02_COLUMNAS;[dbo].[WF_Entidad].[DocumentoOriginalId];"column_id=8; type=bigint; nullable=SI; identity=NO"
102;02_COLUMNAS;[dbo].[WF_Entidad].[DocumentoProcesadoId];"column_id=9; type=bigint; nullable=SI; identity=NO"
103;02_COLUMNAS;[dbo].[WF_Entidad].[DocumentoFirmadoId];"column_id=10; type=bigint; nullable=SI; identity=NO"
104;02_COLUMNAS;[dbo].[WF_Entidad].[CreadoUtc];"column_id=11; type=datetime2; nullable=NO; identity=NO; default=(sysutcdatetime())"
105;02_COLUMNAS;[dbo].[WF_Entidad].[ActualizadoUtc];"column_id=12; type=datetime2; nullable=NO; identity=NO; default=(sysutcdatetime())"
106;02_COLUMNAS;[dbo].[WF_Entidad].[CreadoPor];"column_id=13; type=nvarchar(100); nullable=SI; identity=NO"
107;02_COLUMNAS;[dbo].[WF_Entidad].[ActualizadoPor];"column_id=14; type=nvarchar(100); nullable=SI; identity=NO"
108;02_COLUMNAS;[dbo].[WF_Entidad].[RowVer];"column_id=15; type=timestamp; nullable=NO; identity=NO"
109;02_COLUMNAS;[dbo].[WF_Entidad].[EstadoNegocio];"column_id=16; type=nvarchar(80); nullable=SI; identity=NO"
110;02_COLUMNAS;[dbo].[WF_EntidadIndice].[EntidadIndiceId];"column_id=1; type=bigint; nullable=NO; identity=SI"
111;02_COLUMNAS;[dbo].[WF_EntidadIndice].[EntidadId];"column_id=2; type=bigint; nullable=NO; identity=NO"
112;02_COLUMNAS;[dbo].[WF_EntidadIndice].[Key];"column_id=3; type=nvarchar(100); nullable=NO; identity=NO"
